menu_id,restaurant_id,food_id,cuisine,price,stock_quantity
1,567335,1,"Beverages,Pizzas",40.00,33
2,567335,2,"Beverages,Pizzas",50.00,12
3,567335,3,"Beverages,Pizzas",65.00,33
4,567335,4,"Beverages,Pizzas",80.00,21
5,567335,5,"Beverages,Pizzas",80.00,26
6,567335,6,"Beverages,Pizzas",105.00,36
7,567335,7,"Beverages,Pizzas",105.00,42
8,567335,8,"Beverages,Pizzas",100.00,26
9,567335,9,"Beverages,Pizzas",100.00,16
10,567335,10,"Beverages,Pizzas",125.00,22
11,567335,11,"Beverages,Pizzas",100.00,16
12,567335,12,"Beverages,Pizzas",125.00,33
13,567335,13,"Beverages,Pizzas",125.00,34
14,567335,14,"Beverages,Pizzas",90.00,25
15,567335,15,"Beverages,Pizzas",100.00,49
16,567335,16,"Beverages,Pizzas",90.00,20
17,567335,17,"Beverages,Pizzas",100.00,47
18,567335,18,"Beverages,Pizzas",120.00,18
19,567335,19,"Beverages,Pizzas",190.00,36
20,567335,20,"Beverages,Pizzas",200.00,10
21,567335,21,"Beverages,Pizzas",250.00,39
22,567335,22,"Beverages,Pizzas",250.00,19
23,567335,23,"Beverages,Pizzas",220.00,34
24,567335,24,"Beverages,Pizzas",260.00,35
25,567335,25,"Beverages,Pizzas",100.00,30
26,567335,26,"Beverages,Pizzas",65.00,38
27,567335,27,"Beverages,Pizzas",165.00,31
28,567335,28,"Beverages,Pizzas",165.00,45
29,567335,29,"Beverages,Pizzas",125.00,24
30,567335,30,"Beverages,Pizzas",150.00,14
31,567335,31,"Beverages,Pizzas",250.00,22
32,567335,32,"Beverages,Pizzas",260.00,49
33,567335,33,"Beverages,Pizzas",65.00,10
34,567335,34,"Beverages,Pizzas",80.00,23
35,567335,35,"Beverages,Pizzas",90.00,33
36,567335,36,"Beverages,Pizzas",100.00,16
37,567335,37,"Beverages,Pizzas",125.00,48
38,567335,38,"Beverages,Pizzas",120.00,17
39,567335,39,"Beverages,Pizzas",120.00,37
40,567335,40,"Beverages,Pizzas",65.00,7
41,567335,41,"Beverages,Pizzas",80.00,36
42,567335,42,"Beverages,Pizzas",90.00,20
43,567335,43,"Beverages,Pizzas",90.00,26
44,567335,44,"Beverages,Pizzas",80.00,21
45,567335,45,"Beverages,Pizzas",80.00,34
46,567335,46,"Beverages,Pizzas",90.00,18
47,567335,47,"Beverages,Pizzas",100.00,45
48,567335,48,"Beverages,Pizzas",120.00,31
49,567335,49,"Beverages,Pizzas",100.00,10
50,567335,50,"Beverages,Pizzas",120.00,49
51,567335,51,"Beverages,Pizzas",125.00,34
52,567335,52,"Beverages,Pizzas",125.00,15
53,567335,53,"Beverages,Pizzas",65.00,43
54,567335,54,"Beverages,Pizzas",80.00,27
55,567335,55,"Beverages,Pizzas",120.00,11
56,567335,56,"Beverages,Pizzas",65.00,33
57,567335,57,"Beverages,Pizzas",65.00,16
58,567335,58,"Beverages,Pizzas",90.00,29
59,567335,59,"Beverages,Pizzas",65.00,28
60,567335,60,"Beverages,Pizzas",90.00,22
61,567335,61,"Beverages,Pizzas",40.00,31
62,567335,62,"Beverages,Pizzas",50.00,24
63,567335,63,"Beverages,Pizzas",60.00,13
64,567335,64,"Beverages,Pizzas",65.00,33
65,567335,65,"Beverages,Pizzas",65.00,17
66,567335,66,"Beverages,Pizzas",80.00,28
67,567335,67,"Beverages,Pizzas",90.00,20
68,567335,68,"Beverages,Pizzas",100.00,18
69,567335,69,"Beverages,Pizzas",125.00,26
70,567335,70,"Beverages,Pizzas",125.00,43
71,567335,71,"Beverages,Pizzas",125.00,10
72,567335,72,"Beverages,Pizzas",90.00,27
73,567335,73,"Beverages,Pizzas",100.00,20
74,567335,74,"Beverages,Pizzas",80.00,31
75,567335,75,"Beverages,Pizzas",90.00,50
76,567335,76,"Beverages,Pizzas",90.00,48
77,567335,77,"Beverages,Pizzas",100.00,33
78,567335,78,"Beverages,Pizzas",100.00,13
79,567335,79,"Beverages,Pizzas",65.00,24
80,567335,80,"Beverages,Pizzas",65.00,44
81,567335,81,"Beverages,Pizzas",155.00,26
82,567335,82,"Beverages,Pizzas",180.00,20
83,567335,83,"Beverages,Pizzas",125.00,9
84,567335,84,"Beverages,Pizzas",125.00,29
85,567335,85,"Beverages,Pizzas",125.00,17
86,567335,86,"Beverages,Pizzas",125.00,49
87,567335,87,"Beverages,Pizzas",125.00,17
88,567335,88,"Beverages,Pizzas",100.00,33
89,567335,89,"Beverages,Pizzas",100.00,42
90,567335,90,"Beverages,Pizzas",100.00,24
91,567335,91,"Beverages,Pizzas",90.00,33
92,567335,92,"Beverages,Pizzas",90.00,45
93,567335,93,"Beverages,Pizzas",90.00,31
94,567335,94,"Beverages,Pizzas",90.00,40
95,567335,95,"Beverages,Pizzas",90.00,15
96,567335,96,"Beverages,Pizzas",100.00,16
97,567335,97,"Beverages,Pizzas",100.00,42
98,567335,98,"Beverages,Pizzas",110.00,12
99,567335,99,"Beverages,Pizzas",120.00,38
100,567335,100,"Beverages,Pizzas",120.00,24
101,567335,101,"Beverages,Pizzas",120.00,44
102,567335,102,"Beverages,Pizzas",120.00,7
103,567335,103,"Beverages,Pizzas",230.00,13
104,567335,104,"Beverages,Pizzas",230.00,34
105,567335,105,"Beverages,Pizzas",300.00,47
106,567335,106,"Beverages,Pizzas",300.00,17
107,567335,107,"Beverages,Pizzas",250.00,16
108,567335,108,"Beverages,Pizzas",230.00,49
109,567335,109,"Beverages,Pizzas",300.00,42
110,567335,110,"Beverages,Pizzas",250.00,16
111,567335,111,"Beverages,Pizzas",250.00,16
112,567335,112,"Beverages,Pizzas",250.00,19
113,567335,113,"Beverages,Pizzas",350.00,30
114,567335,114,"Beverages,Pizzas",90.00,5
115,567335,115,"Beverages,Pizzas",90.00,17
116,567335,116,"Beverages,Pizzas",90.00,11
117,531342,117,"Sweets,Bakery",55.00,11
118,531342,118,"Sweets,Bakery",40.00,29
119,531342,119,"Sweets,Bakery",300.00,48
120,531342,120,"Sweets,Bakery",95.00,36
121,531342,121,"Sweets,Bakery",145.00,28
122,531342,95,"Sweets,Bakery",72.00,37
123,531342,123,"Sweets,Bakery",59.00,7
124,531342,124,"Sweets,Bakery",59.00,24
125,531342,125,"Sweets,Bakery",67.00,25
126,531342,126,"Sweets,Bakery",59.00,16
127,531342,91,"Sweets,Bakery",67.00,12
128,531342,94,"Sweets,Bakery",59.00,49
129,531342,93,"Sweets,Bakery",59.00,35
130,531342,130,"Sweets,Bakery",59.00,10
131,531342,131,"Sweets,Bakery",59.00,26
132,531342,132,"Sweets,Bakery",59.00,48
133,531342,133,"Sweets,Bakery",225.00,18
134,531342,134,"Sweets,Bakery",250.00,39
135,531342,135,"Sweets,Bakery",225.00,39
136,531342,136,"Sweets,Bakery",209.00,38
137,531342,137,"Sweets,Bakery",115.00,32
138,531342,138,"Sweets,Bakery",167.00,37
139,531342,139,"Sweets,Bakery",105.00,36
140,531342,140,"Sweets,Bakery",98.00,36
141,531342,141,"Sweets,Bakery",105.00,35
142,531342,142,"Sweets,Bakery",125.00,25
143,531342,143,"Sweets,Bakery",125.00,40
144,531342,144,"Sweets,Bakery",135.00,36
145,531342,145,"Sweets,Bakery",115.00,25
146,531342,146,"Sweets,Bakery",120.00,14
147,531342,147,"Sweets,Bakery",130.00,17
148,531342,148,"Sweets,Bakery",135.00,7
149,531342,149,"Sweets,Bakery",130.00,48
150,531342,150,"Sweets,Bakery",135.00,17
151,531342,151,"Sweets,Bakery",135.00,24
152,531342,152,"Sweets,Bakery",130.00,19
153,531342,153,"Sweets,Bakery",130.00,32
154,531342,154,"Sweets,Bakery",125.00,33
155,531342,155,"Sweets,Bakery",123.00,7
156,531342,156,"Sweets,Bakery",100.00,26
157,531342,157,"Sweets,Bakery",103.00,25
158,531342,158,"Sweets,Bakery",113.00,8
159,531342,159,"Sweets,Bakery",105.00,25
160,531342,160,"Sweets,Bakery",93.00,42
161,531342,161,"Sweets,Bakery",90.00,50
162,531342,162,"Sweets,Bakery",93.00,24
163,531342,163,"Sweets,Bakery",93.00,12
164,531342,164,"Sweets,Bakery",93.00,14
165,531342,165,"Sweets,Bakery",60.00,17
166,531342,166,"Sweets,Bakery",44.00,44
167,531342,167,"Sweets,Bakery",95.00,13
168,531342,168,"Sweets,Bakery",135.00,16
169,531342,169,"Sweets,Bakery",273.00,18
170,531342,170,"Sweets,Bakery",80.00,20
171,531342,171,"Sweets,Bakery",75.00,12
172,531342,172,"Sweets,Bakery",85.00,40
173,531342,173,"Sweets,Bakery",110.00,11
174,531342,174,"Sweets,Bakery",135.00,9
175,531342,175,"Sweets,Bakery",178.00,33
176,531342,176,"Sweets,Bakery",135.00,46
177,531342,177,"Sweets,Bakery",135.00,44
178,531342,178,"Sweets,Bakery",135.00,40
179,531342,179,"Sweets,Bakery",135.00,48
180,531342,180,"Sweets,Bakery",135.00,37
181,531342,181,"Sweets,Bakery",100.00,14
182,531342,182,"Sweets,Bakery",120.00,31
183,531342,183,"Sweets,Bakery",142.00,36
184,531342,184,"Sweets,Bakery",68.00,35
185,531342,185,"Sweets,Bakery",105.00,9
186,531342,186,"Sweets,Bakery",186.00,33
187,531342,187,"Sweets,Bakery",240.00,50
188,531342,188,"Sweets,Bakery",157.00,30
189,531342,189,"Sweets,Bakery",142.00,19
190,531342,190,"Sweets,Bakery",142.00,41
191,531342,191,"Sweets,Bakery",142.00,11
192,531342,192,"Sweets,Bakery",30.00,50
193,531342,193,"Sweets,Bakery",470.00,10
194,531342,194,"Sweets,Bakery",1070.00,16
195,531342,195,"Sweets,Bakery",220.00,28
196,531342,196,"Sweets,Bakery",500.00,8
197,531342,197,"Sweets,Bakery",350.00,6
198,531342,198,"Sweets,Bakery",170.00,19
199,531342,199,"Sweets,Bakery",370.00,5
200,531342,200,"Sweets,Bakery",470.00,18
201,531342,201,"Sweets,Bakery",485.00,10
202,531342,202,"Sweets,Bakery",34.00,16
203,531342,203,"Sweets,Bakery",120.00,30
204,531342,204,"Sweets,Bakery",60.00,8
205,531342,205,"Sweets,Bakery",45.00,50
206,531342,206,"Sweets,Bakery",60.00,24
207,531342,207,"Sweets,Bakery",135.00,46
208,531342,72,"Sweets,Bakery",105.00,28
209,531342,209,"Sweets,Bakery",150.00,6
210,531342,210,"Sweets,Bakery",120.00,50
211,531342,211,"Sweets,Bakery",34.00,45
212,531342,212,"Sweets,Bakery",43.00,38
213,531342,213,"Sweets,Bakery",22.00,26
214,531342,214,"Sweets,Bakery",64.00,44
215,531342,215,"Sweets,Bakery",73.00,44
216,531342,216,"Sweets,Bakery",30.00,26
